Delta,alpha,beta,both
0,3.7212351440131668e-06,7.522472954604103e-07,2.799289072856135e-12
1,0.00011541162457546002,2.737091230291918e-05,1.8867168323690722e-10
2,0.0009754002889531866,0.0003902985646403801,5.345056419746363e-09
3,0.003585520620497304,0.0028524184076082126,8.505430499720455e-08
4,0.007208145811064489,0.01222868648459685,8.589666716864495e-07
5,0.013269941190773156,0.03495851076156203,5.930370507337581e-06
6,0.03661462818401807,0.07618698273011994,2.9677480162141548e-05
7,0.09847343667350371,0.135607414390241,0.00011405837852418925
8,0.1873808244999704,0.1924456999845646,0.0003591485549903198
9,0.23934382537341506,0.20717795991604618,0.0009908660412227034
10,0.20706625619283697,0.16579927627409963,0.00252000430030143
11,0.12417580891768434,0.09995694389822563,0.006017940116359269
12,0.05474654142972201,0.04664527362768698,0.013393380841657764
13,0.019212585932392,0.017596112053521535,0.02733017811167577
14,0.005708249151175597,0.005782080500945408,0.05030167907945045
15,0.0014785170583941308,0.001685586182460335,0.08220843275600703
16,0.0003854672924976004,0.00045361845294039036,0.11756451574607639
17,0.00014423036291380742,0.00013499894410925044,0.14534279405484332
18,7.107903580990692e-05,4.859606420526003e-05,0.1540920174398206
19,3.1244374743059495e-05,1.6863895425705535e-05,0.13964452557895077
20,8.432503286926223e-06,3.9634654400403e-06,0.10832590286176458
21,7.544695917542372e-07,5.700189993666033e-07,0.07232751905482221
22,1.1111481469134569e-09,4.555707402345173e-08,0.04194242746589683
23,1.1111481469134569e-09,1.1111481469134569e-09,0.02137696034534268
