,TRAV1-1*01,TRAV1-1*02,TRAV1-2*01,TRAV1-2*02,TRAV10*01,TRAV11*01,TRAV12-1*01,TRAV12-1*02,TRAV12-2*01,TRAV12-2*02,TRAV12-2*03,TRAV12-3*01,TRAV12-3*02,TRAV13-1*01,TRAV13-1*02,TRAV13-1*03,TRAV13-2*01,TRAV13-2*02,TRAV14/DV4*01,TRAV14/DV4*02,TRAV14/DV4*03,TRAV14/DV4*04,TRAV16*01,TRAV17*01,TRAV18*01,TRAV19*01,TRAV2*01,TRAV2*02,TRAV20*01,TRAV20*02,TRAV20*03,TRAV20*04,TRAV21*01,TRAV21*02,TRAV22*01,TRAV23/DV6*01,TRAV23/DV6*02,TRAV23/DV6*03,TRAV23/DV6*04,TRAV24*01,TRAV24*02,TRAV25*01,TRAV26-1*01,TRAV26-1*02,TRAV26-1*03,TRAV26-2*01,TRAV26-2*02,TRAV27*01,TRAV27*02,TRAV27*03,TRAV29/DV5*01,TRAV29/DV5*02,TRAV3*01,TRAV30*01,TRAV30*02,TRAV30*03,TRAV30*04,TRAV34*01,TRAV35*01,TRAV35*02,TRAV36/DV7*01,TRAV36/DV7*02,TRAV36/DV7*03,TRAV36/DV7*04,TRAV38-1*01,TRAV38-1*02,TRAV38-1*03,TRAV38-1*04,TRAV38-2/DV8*01,TRAV39*01,TRAV4*01,TRAV40*01,TRAV41*01,TRAV5*01,TRAV6*01,TRAV6*02,TRAV6*03,TRAV6*04,TRAV6*05,TRAV6*06,TRAV7*01,TRAV8-1*01,TRAV8-1*02,TRAV8-2*01,TRAV8-2*02,TRAV8-3*01,TRAV8-3*02,TRAV8-3*03,TRAV8-4*01,TRAV8-4*02,TRAV8-4*03,TRAV8-4*04,TRAV8-4*05,TRAV8-4*06,TRAV8-4*07,TRAV8-6*01,TRAV8-6*02,TRAV8-7*01,TRAV9-1*01,TRAV9-2*01,TRAV9-2*02,TRAV9-2*03,TRAV9-2*04
TRAV1-1*01,0,4,16,8,62,63,54,54,55,55,59,50,50,58,58,58,62,62,53,51,53,51,49,54,50,52,43,43,49,49,49,49,58,58,49,60,60,60,60,48,48,61,63,63,63,63,63,65,65,65,54,54,54,62,62,62,62,59,62,62,63,60,60,60,57,57,57,57,57,62,68,47,54,57,69,69,69,69,69,68,53,61,61,57,57,59,59,59,57,57,57,57,57,62,54,58,58,53,60,57,57,57,57
TRAV1-1*02,4,0,16,8,62,63,54,54,55,55,59,50,50,58,58,58,62,62,49,47,49,47,49,54,51,52,44,44,49,49,49,49,58,58,49,60,60,60,60,48,48,61,63,63,63,63,63,65,65,65,55,55,54,62,62,62,62,59,62,62,63,60,60,60,57,57,57,57,57,62,68,47,55,57,69,69,69,69,69,68,53,61,61,57,57,59,59,59,57,57,57,57,57,62,54,58,58,53,60,57,57,57,57
TRAV1-2*01,16,16,0,0,61,62,54,54,55,55,59,50,50,54,54,54,61,61,55,53,55,53,48,46,59,60,48,48,49,49,49,49,58,58,46,59,59,59,59,49,49,52,60,60,60,59,59,58,58,58,54,54,51,61,61,61,61,59,56,56,64,61,61,61,61,61,61,61,61,60,65,47,55,61,69,69,69,69,69,69,50,57,57,59,59,62,62,62,59,59,59,59,59,64,56,57,57,54,60,58,58,58,58
TRAV1-2*02,8,8,0,0,37,48,40,40,39,39,43,36,36,36,36,36,43,43,36,34,36,34,28,30,41,42,36,36,36,36,36,36,44,44,28,42,42,42,42,35,35,33,39,39,39,38,38,37,37,37,39,39,35,42,42,42,42,39,35,35,43,43,43,43,40,40,40,40,40,36,43,31,35,42,46,46,46,46,46,46,36,43,43,42,42,47,47,47,42,42,42,42,42,47,39,41,41,37,38,36,36,36,36
TRAV10*01,62,62,61,37,0,63,63,63,67,67,67,55,55,64,64,64,64,64,66,64,66,64,58,49,66,68,41,41,51,51,51,51,55,55,44,60,60,60,60,57,57,53,56,56,56,59,59,62,62,62,59,59,67,62,62,61,62,60,64,64,52,55,52,52,66,66,66,66,66,62,56,44,48,63,57,57,57,57,57,61,46,72,72,66,66,76,76,76,67,67,68,67,67,71,60,71,71,71,63,57,57,57,57
TRAV11*01,63,63,62,48,63,0,58,58,47,47,47,60,60,54,54,54,59,59,58,60,58,60,59,46,63,58,39,39,48,48,48,48,35,35,45,63,63,63,63,61,61,52,62,62,62,61,61,60,60,60,60,60,70,56,56,56,56,51,62,62,55,52,52,52,61,61,61,61,61,63,63,52,52,57,59,59,59,59,59,59,50,56,56,65,65,69,69,69,66,66,70,66,66,66,62,67,67,67,65,65,65,65,65
TRAV12-1*01,54,54,54,40,63,58,0,0,20,20,20,23,23,38,38,38,40,40,49,49,49,49,50,53,59,59,46,46,47,47,47,47,47,47,42,51,51,51,51,57,57,60,59,59,59,60,60,53,53,53,46,46,58,54,54,57,54,61,60,60,58,55,55,55,54,55,54,54,55,58,54,52,47,43,62,62,62,62,62,63,48,60,60,51,51,54,54,54,59,59,62,59,59,64,59,51,51,59,63,64,64,64,64
TRAV12-1*02,54,54,54,40,63,58,0,0,20,20,20,23,23,38,38,38,40,40,49,49,49,49,50,53,59,59,46,46,47,47,47,47,47,47,42,51,51,51,51,57,57,60,59,59,59,60,60,53,53,53,46,46,58,54,54,57,54,61,60,60,58,55,55,55,54,55,54,54,55,58,54,52,47,43,62,62,62,62,62,63,48,60,60,51,51,54,54,54,59,59,62,59,59,64,59,51,51,59,63,64,64,64,64
TRAV12-2*01,55,55,55,39,67,47,20,20,0,0,4,38,38,38,38,38,48,48,54,54,54,54,48,54,57,56,52,52,42,42,42,42,47,47,42,54,54,54,54,60,60,59,62,62,62,63,63,55,55,55,50,50,53,53,53,56,53,58,60,60,54,51,51,51,59,60,59,59,60,59,61,48,46,42,63,63,63,63,63,64,48,54,54,55,55,61,61,61,63,63,66,63,63,63,58,55,55,58,59,58,58,58,58
TRAV12-2*02,55,55,55,39,67,47,20,20,0,0,4,38,38,38,38,38,48,48,54,54,54,54,48,54,57,56,52,52,42,42,42,42,47,47,42,54,54,54,54,60,60,59,62,62,62,63,63,55,55,55,50,50,53,53,53,56,53,58,60,60,54,51,51,51,59,60,59,59,60,59,61,48,46,42,63,63,63,63,63,64,48,54,54,55,55,61,61,61,63,63,66,63,63,63,58,55,55,58,59,58,58,58,58
TRAV12-2*03,59,59,59,43,67,47,20,20,4,4,0,38,38,38,38,38,48,48,54,54,54,54,52,51,57,56,52,52,46,46,46,46,47,47,38,54,54,54,54,60,60,58,62,62,62,63,63,55,55,55,49,49,57,52,52,55,52,57,60,60,54,51,51,51,59,60,59,59,60,59,61,52,43,42,63,63,63,63,63,64,48,58,58,55,55,61,61,61,59,59,62,59,59,63,58,51,51,62,59,62,62,62,62
TRAV12-3*01,50,50,50,36,55,60,23,23,38,38,38,0,0,38,38,38,40,40,51,51,51,51,55,48,54,51,48,48,43,43,43,43,43,43,44,41,41,41,41,58,58,61,52,52,52,53,53,61,61,61,36,36,53,64,64,63,64,61,58,58,54,51,51,51,49,49,49,49,49,55,48,47,49,44,54,54,54,54,54,58,44,57,57,54,54,50,50,50,50,50,53,50,50,59,50,49,49,58,62,63,63,63,63
TRAV12-3*02,50,50,50,36,55,60,23,23,38,38,38,0,0,38,38,38,40,40,51,51,51,51,55,48,54,51,48,48,43,43,43,43,43,43,44,41,41,41,41,58,58,61,52,52,52,53,53,61,61,61,36,36,53,64,64,63,64,61,58,58,54,51,51,51,49,49,49,49,49,55,48,47,49,44,54,54,54,54,54,58,44,57,57,54,54,50,50,50,50,50,53,50,50,59,50,49,49,58,62,63,63,63,63
